"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test one endpoint (one test per endpoint via parametrize ids).","198","test_endpoint[PUT__contratante_id_familia]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","235","test_endpoint[POST__objeto-analise]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test partial updating Contratada.","390","Patch Contratada","tests.contratada","2026-06-25","failed","2026-06-25","TestPatchContratada","test_patch","",""
"Test one endpoint (one test per endpoint via parametrize ids).","194","test_endpoint[PUT__contratada-contrato_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","222","test_endpoint[DELETE__area_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","234","test_endpoint[GET__contratada-contrato_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","197","test_endpoint[PUT__contrato_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","229","test_endpoint[POST__amostragem-grupo-area]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting Contratada Contrato by ID.","195","Get Contratada Contrato by ID","tests.contratada_contrato","2026-06-25","skipped","2026-06-25","TestGetContratadaContratoById","test_get_by_id","",""
"Test getting all Amostragem Grupo Area.","197","Get all Amostragem Grupo Area","tests.amostragem_grupo_area","2026-06-25","passed","2026-06-25","TestGetAllAmostragemGrupoArea","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","195","test_endpoint[DELETE__suporte_cartilha_delete_pasta]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test creating Amostragem Grupo Area.","182","Create Amostragem Grupo Area","tests.amostragem_grupo_area","2026-06-25","failed","2026-06-25","TestCreateAmostragemGrupoArea","test_create","",""
"Test one endpoint (one test per endpoint via parametrize ids).","230","test_endpoint[DELETE__objeto-analise-tipo-especifico_id]","tests","2026-06-25","failed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test creating Contratada Contrato.","185","Create Contratada Contrato","tests.contratada_contrato","2026-06-25","failed","2026-06-25","TestCreateContratadaContrato","test_create","",""
"Test one endpoint (one test per endpoint via parametrize ids).","240","test_endpoint[GET__objeto-analise_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","209","test_endpoint[DELETE__contratante_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","213","test_endpoint[GET__contratante_id_grupo-area_grupo-area-id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","197","test_endpoint[GET__suporte_cartilha_download_pasta]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","214","test_endpoint[POST__objeto-oficial]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","243","test_endpoint[GET__avisos_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test updating Familia IDs atrelados a Contratante.","570","Update Familia IDs atrelados a Contratante","tests.contratante","2026-06-25","failed","2026-06-25","TestUpdateContratanteFamilia","test_update_familia","",""
"Test one endpoint (one test per endpoint via parametrize ids).","194","test_endpoint[PUT__contratada_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","30112","test_endpoint[GET__video-cast]","tests","2026-06-25","broken","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","182","test_endpoint[POST__familia]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","213","test_endpoint[GET__grupo-area_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","189","test_endpoint[POST__area]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test pre-process status endpoint.","178","Pre-process status event","tests","2026-06-25","failed","2026-06-25","TestEvents","test_events","",""
"Test deleting Contratante.","620","Delete Contratante","tests.contratante","2026-06-25","failed","2026-06-25","TestDeleteContratante","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","217","test_endpoint[GET__grupo-faturamento_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting all Contratos.","203","Get all Contratos","tests.contrato","2026-06-25","passed","2026-06-25","TestGetAllContrato","test_get_all","",""
"Test updating Contratada.","380","Update Contratada","tests.contratada","2026-06-25","failed","2026-06-25","TestUpdateContratada","test_update","",""
