"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test getting all Areas.","198","Get all Areas","tests.area","2026-06-25","passed","2026-06-25","TestGetAllArea","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","191","test_endpoint[PUT__objeto-oficial_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","212","test_endpoint[GET__grupo-faturamento]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","198","test_endpoint[DELETE__objeto-analise_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","202","test_endpoint[GET__area]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","207","test_endpoint[GET__risco]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test updating Contratante.","401","Update Contratante","tests.contratante","2026-06-25","failed","2026-06-25","TestUpdateContratante","test_update","",""
"Test one endpoint (one test per endpoint via parametrize ids).","189","test_endpoint[POST__grupo-faturamento]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","425","test_endpoint[POST__events_pre-process-status_type]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","216","test_endpoint[GET__sub-familia_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","228","test_endpoint[GET__risco_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","193","test_endpoint[PUT__familia_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting Familia IDs atrelados a Contratante.","401","Get Familia IDs atrelados a Contratante","tests.contratante","2026-06-25","passed","2026-06-25","TestGetContratanteFamilia","test_get_familia","",""
"Test one endpoint (one test per endpoint via parametrize ids).","223","test_endpoint[DELETE__operador_vinculo_OperadorContratadaContratoId]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","220","test_endpoint[GET__objeto-analise]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","256","test_endpoint[GET__objeto-analise-tipo-especifico_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","699","test_endpoint[GET__suporte_cartilha]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting all Classificacao Colaborador.","196","Get all Classificacao Colaborador","tests.classificacao_colaborador","2026-06-25","passed","2026-06-25","TestGetAllClassificacaoColaborador","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","202","test_endpoint[DELETE__grupo-faturamento_grupoFaturamentoId_faixa-faturamento_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test creating Contratante.","184","Create Contratante","tests.contratante","2026-06-25","failed","2026-06-25","TestCreateContratante","test_create","",""
"Test one endpoint (one test per endpoint via parametrize ids).","216","test_endpoint[GET__unidade-contratante]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","199","test_endpoint[DELETE__grupo-area_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","209","test_endpoint[GET__area_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","203","test_endpoint[DELETE__local-servico_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting Grupo Area atrelados a Contratante.","410","Get Grupo Area atrelados a Contratante","tests.contratante","2026-06-25","passed","2026-06-25","TestGetContratanteGrupoArea","test_get_grupo_area","",""
"Test one endpoint (one test per endpoint via parametrize ids).","237","test_endpoint[GET__contrato]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
